year,date,week,month,day,start,end,action,duration,string-start,string-end
2022,2022-09-30,39,09,30,07:00,10:00,Wake up & Gym,03:00:00,2022-09-30 07:00:00+03:00,2022-09-30 10:00:00+03:00
2022,2022-09-30,39,09,30,11:00,12:00,Call Vainu,01:00:00,2022-09-30 11:00:00+03:00,2022-09-30 12:00:00+03:00
2022,2022-09-30,39,09,30,12:00,13:00,Research BCG test,01:00:00,2022-09-30 12:00:00+03:00,2022-09-30 13:00:00+03:00
2022,2022-09-30,39,09,30,13:00,16:00,Maffs & Misc,03:00:00,2022-09-30 13:00:00+03:00,2022-09-30 16:00:00+03:00
2022,2022-09-30,39,09,30,16:00,18:30,Front-End Projects,02:30:00,2022-09-30 16:00:00+03:00,2022-09-30 18:30:00+03:00
2022,2022-10-03,40,10,03,11:00,12:30,Vaaka Partners Job Application,01:30:00,2022-10-03 11:00:00+03:00,2022-10-03 12:30:00+03:00
2022,2022-10-03,40,10,03,12:30,13:30,Programming,01:00:00,2022-10-03 12:30:00+03:00,2022-10-03 13:30:00+03:00
2022,2022-10-03,40,10,03,13:30,19:30,React & Redux,06:00:00,2022-10-03 13:30:00+03:00,2022-10-03 19:30:00+03:00
2022,2022-10-04,40,10,04,08:00,19:15,Programming,11:15:00,2022-10-04 08:00:00+03:00,2022-10-04 19:15:00+03:00
2022,2022-10-05,40,10,05,00:00,00:00,KARRIN SYNTTÄRIT,1 days 00:00:00,2022-10-05 00:00:00,2022-10-06 00:00:00
2022,2022-10-05,40,10,05,06:30,10:00,Wake up & Gym,03:30:00,2022-10-05 06:30:00+03:00,2022-10-05 10:00:00+03:00
2022,2022-10-05,40,10,05,10:00,12:00,BCG Application,02:00:00,2022-10-05 10:00:00+03:00,2022-10-05 12:00:00+03:00
2022,2022-10-05,40,10,05,12:00,13:30,Admin Stuff,01:30:00,2022-10-05 12:00:00+03:00,2022-10-05 13:30:00+03:00
2022,2022-10-05,40,10,05,14:00,18:30,Programming,04:30:00,2022-10-05 14:00:00+03:00,2022-10-05 18:30:00+03:00
2022,2022-10-05,40,10,05,18:30,19:45,Valmistaudu Vainu haastatteluun,01:15:00,2022-10-05 18:30:00+03:00,2022-10-05 19:45:00+03:00
2022,2022-10-06,40,10,06,07:00,09:30,Koodaa,02:30:00,2022-10-06 07:00:00+03:00,2022-10-06 09:30:00+03:00
2022,2022-10-06,40,10,06,09:30,12:00,Harjoittele haastattelua,02:30:00,2022-10-06 09:30:00+03:00,2022-10-06 12:00:00+03:00
2022,2022-10-06,40,10,06,12:00,13:00,Ruokaile,01:00:00,2022-10-06 12:00:00+03:00,2022-10-06 13:00:00+03:00
2022,2022-10-06,40,10,06,13:00,14:00,Interview Jr Data Researcher Lauri Teerimäki,01:00:00,2022-10-06 13:00:00+03:00,2022-10-06 14:00:00+03:00
2022,2022-10-06,40,10,06,14:00,18:00,Programming,04:00:00,2022-10-06 14:00:00+03:00,2022-10-06 18:00:00+03:00
2022,2022-10-06,40,10,06,18:00,20:00,BCG Test Prep,02:00:00,2022-10-06 18:00:00+03:00,2022-10-06 20:00:00+03:00
2022,2022-10-07,40,10,07,06:00,09:00,Wake up & Go to gym,03:00:00,2022-10-07 06:00:00+03:00,2022-10-07 09:00:00+03:00
2022,2022-10-07,40,10,07,09:00,11:00,BCG Test,02:00:00,2022-10-07 09:00:00+03:00,2022-10-07 11:00:00+03:00
2022,2022-10-07,40,10,07,11:00,13:00,Vainu 2nd interview prep,02:00:00,2022-10-07 11:00:00+03:00,2022-10-07 13:00:00+03:00
2022,2022-10-07,40,10,07,13:00,13:45,Interview Data Researcher,00:45:00,2022-10-07 13:00:00+03:00,2022-10-07 13:45:00+03:00
2022,2022-10-07,40,10,07,13:45,14:45,Lunch,01:00:00,2022-10-07 13:45:00+03:00,2022-10-07 14:45:00+03:00
2022,2022-10-07,40,10,07,14:45,15:15,Misc,00:30:00,2022-10-07 14:45:00+03:00,2022-10-07 15:15:00+03:00
2022,2022-10-07,40,10,07,18:00,19:30,Group Chat @Markus @Frans,01:30:00,2022-10-07 18:00:00+03:00,2022-10-07 19:30:00+03:00
2022,2022-10-08,40,10,08,07:00,10:30,Wake up & Gym,03:30:00,2022-10-08 07:00:00+03:00,2022-10-08 10:30:00+03:00
2022,2022-10-08,40,10,08,10:30,16:00,Programming,05:30:00,2022-10-08 10:30:00+03:00,2022-10-08 16:00:00+03:00
2022,2022-10-10,41,10,10,07:30,10:00,Wake up & Gym,02:30:00,2022-10-10 07:30:00+03:00,2022-10-10 10:00:00+03:00
2022,2022-10-10,41,10,10,11:00,13:00,Programming ,02:00:00,2022-10-10 11:00:00+03:00,2022-10-10 13:00:00+03:00
2022,2022-10-10,41,10,10,13:00,17:15,Front End Calculator Project,04:15:00,2022-10-10 13:00:00+03:00,2022-10-10 17:15:00+03:00
2022,2022-10-11,41,10,11,09:00,11:00,Maki VC Application,02:00:00,2022-10-11 09:00:00+03:00,2022-10-11 11:00:00+03:00
2022,2022-10-23,42,10,23,00:00,00:00,Martinilla synttärit!,1 days 00:00:00,2022-10-23 00:00:00,2022-10-24 00:00:00
2022,2022-10-25,43,10,25,10:00,10:30,Vainu Intro,00:30:00,2022-10-25 10:00:00+03:00,2022-10-25 10:30:00+03:00
2022,2022-10-25,43,10,25,10:30,12:00,Vainu demo + Practice,01:30:00,2022-10-25 10:30:00+03:00,2022-10-25 12:00:00+03:00
2022,2022-10-25,43,10,25,12:00,13:00,Lunch,01:00:00,2022-10-25 12:00:00+03:00,2022-10-25 13:00:00+03:00
2022,2022-10-25,43,10,25,13:00,15:30,Contact Data,02:30:00,2022-10-25 13:00:00+03:00,2022-10-25 15:30:00+03:00
2022,2022-10-25,43,10,25,15:30,17:00,Recap,01:30:00,2022-10-25 15:30:00+03:00,2022-10-25 17:00:00+03:00
2022,2022-10-25,43,10,25,17:45,18:00,Hanken Studiepoäng,00:15:00,2022-10-25 17:45:00+03:00,2022-10-25 18:00:00+03:00
2022,2022-10-25,43,10,25,18:00,18:30,Dual N Back,00:30:00,2022-10-25 18:00:00+03:00,2022-10-25 18:30:00+03:00
2022,2022-10-25,43,10,25,18:30,20:00,Smart Contract Dev & Testing,01:30:00,2022-10-25 18:30:00+03:00,2022-10-25 20:00:00+03:00
2022,2022-10-26,43,10,26,09:30,12:00,Vainu,02:30:00,2022-10-26 09:30:00+03:00,2022-10-26 12:00:00+03:00
2022,2022-10-26,43,10,26,12:00,13:00,Lunch,01:00:00,2022-10-26 12:00:00+03:00,2022-10-26 13:00:00+03:00
2022,2022-10-26,43,10,26,13:00,16:30,Vainu,03:30:00,2022-10-26 13:00:00+03:00,2022-10-26 16:30:00+03:00
2022,2022-10-26,43,10,26,17:30,19:00,Schedule Planning,01:30:00,2022-10-26 17:30:00+03:00,2022-10-26 19:00:00+03:00
2022,2022-10-27,43,10,27,08:30,10:00,Gym,01:30:00,2022-10-27 08:30:00+03:00,2022-10-27 10:00:00+03:00
2022,2022-10-27,43,10,27,10:00,13:00,Programming,03:00:00,2022-10-27 10:00:00+03:00,2022-10-27 13:00:00+03:00
2022,2022-10-27,43,10,27,13:00,14:00,Lunch,01:00:00,2022-10-27 13:00:00+03:00,2022-10-27 14:00:00+03:00
2022,2022-10-27,43,10,27,14:00,16:30,Programming,02:30:00,2022-10-27 14:00:00+03:00,2022-10-27 16:30:00+03:00
2022,2022-10-27,43,10,27,17:00,21:00,Vainu Data Tagging ,04:00:00,2022-10-27 17:00:00+03:00,2022-10-27 21:00:00+03:00
2022,2022-10-28,43,10,28,08:00,13:00,Programming,05:00:00,2022-10-28 08:00:00+03:00,2022-10-28 13:00:00+03:00
2022,2022-10-28,43,10,28,13:00,14:00,Random,01:00:00,2022-10-28 13:00:00+03:00,2022-10-28 14:00:00+03:00
2022,2022-10-28,43,10,28,14:00,15:00,Lunch,01:00:00,2022-10-28 14:00:00+03:00,2022-10-28 15:00:00+03:00
2022,2022-10-28,43,10,28,15:00,17:00,Vainu,02:00:00,2022-10-28 15:00:00+03:00,2022-10-28 17:00:00+03:00
2022,2022-10-29,43,10,29,08:00,10:00,Gym?,02:00:00,2022-10-29 08:00:00+03:00,2022-10-29 10:00:00+03:00
2022,2022-10-29,43,10,29,11:00,15:00,Vainu,04:00:00,2022-10-29 11:00:00+03:00,2022-10-29 15:00:00+03:00
2022,2022-10-30,43,10,30,10:00,12:00,Aleksandran Konffis,02:00:00,2022-10-30 10:00:00+02:00,2022-10-30 12:00:00+02:00
2022,2022-10-30,43,10,30,12:00,15:45,Konffis Day,03:45:00,2022-10-30 12:00:00+02:00,2022-10-30 15:45:00+02:00
2022,2022-10-31,44,10,31,10:30,12:00,Vainu,01:30:00,2022-10-31 10:30:00+02:00,2022-10-31 12:00:00+02:00
